City_Name,Country Codes,Lat,Lng,Date,Max_Temp,Cloudiness,Humidty,Wind Speed
Lake Havasu City,US,34.57357931434214,-113.90901032890724,1551652471,77.0,1,35,6.93
San Quintin,MX,27.208453597834747,-122.28148628520539,1551652558,63.67,64,100,10.78
Marovoay,MG,-17.118803976463255,45.65754952079669,1551652559,68.3,48,97,4.97
Bengkulu,ID,-10.781720241884315,99.87006752317143,1551652559,83.2,32,99,23.09
Otane,NZ,-43.26273446239155,179.98054194500816,1551652560,62.32,24,100,13.8
Mandera,KE,3.7440084978464796,40.99553178239455,1551652561,71.32,0,58,2.84
Nemuro,JP,40.72666630444354,147.21691125322712,1551652562,45.13,12,93,8.66
Albion,MU,-19.347877604526005,56.57674352035275,1551652562,83.38,32,98,16.04
Isangel,VU,-15.805274688843198,175.87673936910153,1551652564,84.73,68,100,11.79
Deputatskiy,RU,68.67840518603808,139.79430094507035,1551652565,-25.98,0,36,3.51
Khasan,RU,39.34173919635913,129.99317389388824,1551652567,43.69,68,93,3.06
Crossville,US,36.356933866017556,-84.68007990022076,1551652368,46.0,90,100,18.34
Butaritari,KI,23.145085020386546,172.24370179191698,1551652568,77.3,80,97,12.12
Vaini,TO,-54.04258362423494,-169.84009797292205,1551652569,46.39,0,96,29.24
Suntar,RU,60.2938699671021,117.08737608808468,1551652570,11.65,56,85,3.74
Almeirim,BR,-1.5458709976395824,-53.04162225716999,1551652570,79.55,36,79,7.43
Riyadh,SA,20.58123500078321,47.73761084283262,1551652571,56.65,0,28,7.76
Abu Dhabi,AE,24.87549762727828,54.66013121606875,1551650400,64.4,20,68,8.05
Severo-Kurilsk,RU,34.70720315940514,162.33029520653082,1551652572,53.23,0,100,5.64
Ancud,CL,-41.62720974268316,-96.73186489269247,1551652573,58.81,92,100,8.1
Aksu,KZ,51.08142001507622,76.7765180696141,1551652573,27.58,76,87,9.22
Ye,MM,15.229047982388352,98.71550821909648,1551652574,64.66,0,88,1.95
Saldanha,ZA,-40.35216563808705,2.778039642839076,1551652574,57.5,48,100,23.31
Nanortalik,GL,52.389360624771854,-43.817019979568556,1551652575,39.55,80,100,8.66
Arrecife,ES,28.52266544196941,-12.444646475501912,1551652576,62.77,92,100,18.28
Isla Mujeres,MX,22.16888276717171,-86.80859648152409,1551652576,80.36,0,93,16.82
Taltal,CL,-26.11082853643213,-71.46186735828309,1551652577,67.85,0,100,13.69
Namibe,AO,-15.629858194452368,12.567324664197429,1551652577,67.58,8,85,2.73
Bambous Virieux,MU,-24.64445302825105,63.36559055659484,1551652577,80.68,12,100,18.05
Yar-Sale,RU,68.42442212851421,71.7988351064939,1551652578,-8.43,56,63,15.7
Hami,CN,43.297876415966925,95.80544238483333,1551652579,2.47,0,43,2.28
Kaitangata,NZ,-80.89001220538425,177.54490348305757,1551652579,15.79,76,100,11.68
Lolua,TV,-7.71038559079274,172.12463972651483,1551652580,84.23,24,99,15.03
Salto,UY,-31.414337528704912,-57.19442293271344,1551652580,78.38,8,59,10.67
Tiznit,MA,27.287643039223312,-9.729036064707515,1551652581,52.69,0,75,3.74
Chokurdakh,RU,75.01370754306384,149.60849259770418,1551652582,-11.22,32,73,11.23
Illoqqortoormiut,GL,84.0441212088109,-11.029500306110464,1551652582,-13.6,68,83,18.84
Trinidad,BO,-14.788272908150333,-64.21249929612932,1551652583,79.55,8,82,3.62
Izhma,RU,66.53325679389218,55.11390813457615,1551652584,-8.47,32,62,2.17
Gat,LY,25.82564421842679,6.529149682745128,1551652585,42.88,0,55,2.73
Lavrentiya,RU,71.02509310278836,-172.74325081109907,1551652585,18.58,80,94,18.72
Xining,CN,36.77396625575649,100.85529185102001,1551652586,9.13,32,79,2.95
Cabo San Lucas,MX,18.634160957668527,-111.29394310330461,1551652588,77.48,0,96,12.68
Doha,KW,29.524237777476586,46.0972650988266,1551652588,41.98,0,57,2.95
Petropavlovsk-Kamchatskiy,RU,47.82142465334553,164.070302238882,1551652589,32.08,48,100,35.16
Berlevag,NO,74.5581321622306,30.178049924112827,1551652590,15.61,36,100,20.96
Port Elizabeth,ZA,-89.57703689325304,33.27057954570151,1551652590,-39.57,0,57,18.5
Sentyabrskiy,RU,26.722379504705643,162.771335862978,1551652591,69.25,32,100,21.41
Peleduy,RU,60.271180947080296,111.95698017738653,1551652592,12.01,80,89,2.62
Puerto Ayora,EC,-5.592883789758758,-112.00261096724145,1551652592,79.87,0,100,13.69
Yulara,AU,-27.237832140693648,131.39530823615905,1551652593,83.96,36,23,4.97
Anahuac,MX,26.889042996454947,-100.14902030993998,1551652594,71.23,0,58,16.04
Okandja,GA,0.39867492898565615,14.358450399083893,1551652595,68.62,8,95,2.95
Coari,BR,-4.256167645608201,-63.36444084355554,1551652596,79.01,36,96,0.94
Innisfail,AU,-16.750840390016393,148.19396302102706,1551652596,81.53,12,99,18.95
Broome,AU,-16.390747184709085,120.91173106762642,1551652597,88.51,20,92,8.1
Mildura,AU,-33.50982204567467,140.78703400513382,1551652598,79.24,44,69,4.63
Saquena,PE,-5.220364071128003,-72.54998133713441,1551652599,78.88,20,89,0.94
Mahajanga,MG,-14.991024665949027,46.66645899797771,1551652599,77.3,76,100,3.51
Alofi,NU,-18.018163813926492,-168.0896805560664,1551652600,81.67,76,100,9.22
Haines Junction,CA,59.925062371346655,-137.07855313568803,1551652601,14.03,8,84,2.73
Samusu,WS,-11.472213130178062,-163.68421876965863,1551652602,81.98,24,100,12.35
Geraldton,AU,-33.04824891706528,93.31430770379836,1551652602,67.4,92,100,19.51
